Trade_ID,User,Pair,Amount
TR_1,0x00164FDA,SUSHI:USD,85.63389075
TR_2,0x001B69C3,SUSHI:USD,193.5209586
TR_3,0x0010B91B,BTC:USD,0.0329400254
TR_4,0x001B1557,ETH:USD,3.449964657
TR_5,0x00188009,DVF:USD,-434.266735
TR_6,0x0010B0C4,BTC:USD,0.302525781
TR_7,0x0016DD90,DVF:ETH,-823.2971385
TR_8,0x00173338,DVF:USD,-1650.899559
TR_9,0x0017DA61,ETH:USD,0.3192145636
TR_10,0x0016EC14,DVF:ETH,545.7845913
TR_11,0x00119619,ETH:USD,-0.6448572118
TR_12,0x00184486,ETH:USD,1.086133144
TR_13,0x001B23E0,SUSHI:USD,-356.5727694
TR_14,0x00118CEB,DOGE:USD,3305.849609
TR_15,0x00103AA0,BTC:USD,0.1345378536
TR_16,0x00111139,ETH:USD,0.756205225
TR_17,0x0010B91B,DVF:USD,-215.4695766
TR_18,0x0013A667,DVF:USD,529.8782657
TR_19,0x001134BB,DVF:USD,564.5934951
TR_20,0x001B4199,DVF:USD,453.1024711
TR_21,0x001D8A87,SUSHI:USD,192.1094793
TR_22,0x001913B0,DVF:USD,492.424353
TR_23,0x001A3527,DVF:USD,563.8175448
TR_24,0x001B77C4,BTC:USD,0.07802040638
TR_25,0x00122EA3,DVF:USD,197.3135635
TR_26,0x001CCF65,BTC:USD,-0.2792937768
TR_27,0x0018BD12,SUSHI:USD,238.6610308
TR_28,0x0016EEBA,ETH:BTC,1.081493338
TR_29,0x00162265,ETH:BTC,-5.206699375
TR_30,0x001DC72B,ETH:BTC,-0.9835053849
TR_31,0x0016BD6C,ETH:BTC,0.9735258241
TR_32,0x00174619,DOGE:USD,1354.877695
TR_33,0x001791D8,DVF:ETH,484.5403803
TR_34,0x00123799,ETH:USD,1.169131255
TR_35,0x00120A1A,ETH:BTC,-4.936597148
TR_36,0x0019B229,DVF:USD,-446.537838
TR_37,0x0013E589,SUSHI:USD,230.1924142
TR_38,0x0016BDD7,ETH:USD,0.6908083494
TR_39,0x00122280,ETH:USD,-0.6252485012
TR_40,0x00159955,DVF:USD,-887.9721844
TR_41,0x00144719,DVF:USD,-2302.551796
TR_42,0x001DA782,DVF:USD,-197.2594069
TR_43,0x0018E2CE,DVF:USD,-565.6551994
TR_44,0x0017E193,BTC:USD,0.278208637
TR_45,0x0018CFDC,DOGE:USD,1525.507969
TR_46,0x001E5FC4,BTC:USD,0.08205489972
TR_47,0x0011282F,DOGE:USD,-1225.96773
TR_48,0x001D30BC,DVF:USD,576.6162698
TR_49,0x000F4F60,ETH:USD,0.6262898024
TR_50,0x0015683B,ETH:BTC,1.020845624
TR_51,0x00104D0F,BTC:USD,0.07982898647
